action_id,path,symbol,http_method,effect_class,safety_class,retry_attempts,reconciliation,notes
notifier.webhook.send,src/apps/daemon/internal/integrations/notifier/notifier.go,SendWebhook,POST,side-effect,single-attempt,1,n/a,Duplicate notifications are externally visible and no idempotency key is available.
portal.login.submit,src/apps/daemon/internal/platform/system/portal_bypass.go,Login,POST,side-effect,single-attempt,1,n/a,Portal login is not replayed automatically without a session reconciliation contract.
decoy.http.emit,src/apps/daemon/internal/runtime/decoy/manager.go,sendDecoy,POST,side-effect,single-attempt,1,n/a,Each decoy emission is itself the intended side effect; retries would amplify traffic.
system.webhook.notify,src/apps/daemon/internal/platform/system/plimit_probe.go,WebhookNotify,POST,side-effect,single-attempt,1,n/a,Duplicate incident notifications are not automatically replayed.
doh.system-resolver.query,src/apps/daemon/internal/networking/dns/resolver.go,resolveDoH,POST,query-over-post,not-applicable,0,n/a,DNS-over-HTTPS POST is a read query and not a remote mutation.
doh.provider.query,src/apps/daemon/internal/networking/dns/doh_resolver.go,ResolveDNS,POST,query-over-post,not-applicable,0,n/a,DNS-over-HTTPS POST is a read query and not a remote mutation.
doh.proxy.query,src/apps/daemon/internal/networking/dns/doh_proxy.go,doPOSTQuery,POST,query-over-post,not-applicable,0,n/a,DNS-over-HTTPS POST is a read query and not a remote mutation.
doh.ech.query,src/apps/daemon/internal/runtime/proxy/ech.go,ResolveECHViaDoH,POST,query-over-post,not-applicable,0,n/a,DNS-over-HTTPS POST retrieves ECH configuration and has no remote side effect.
doh.evasion.query,src/apps/daemon/internal/runtime/proxy/evasion_tunnel_dns.go,forwardDNSQuerySingleContext,POST,query-over-post,not-applicable,0,n/a,DNS-over-HTTPS POST is a read query and not a remote mutation.
doh.evasion-query-wire,src/apps/daemon/internal/runtime/proxy/evasion_tunnel_dns.go,resolveDoH,POST,query-over-post,not-applicable,0,n/a,DNS-over-HTTPS POST is a read query and not a remote mutation.
relay.http.stream,src/apps/daemon/internal/integrations/relayclient/serverless_dialer.go,sendRequest,POST,stream-transport,protocol-owned,0,write sequence and session protocol,Streaming relay POST replay is owned by the transport protocol rather than generic mutation retry.
relay.gsa.stream,src/apps/daemon/internal/integrations/relayclient/gsa_relay.go,sendRequest,POST,stream-transport,protocol-owned,0,session transaction protocol,Streaming relay POST replay is owned by the transport protocol rather than generic mutation retry.
relay.dispersal.frame,src/apps/daemon/internal/integrations/relayclient/dispersal.go,sendFrame,POST,stream-transport,protocol-owned,0,micro-frame write sequence,Micro-frame dispersal POST replay is owned by the overlay transport protocol rather than generic mutation retry.
