record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
HVC-LAB-W20-AST-6AC2D94A,n/a,HVC-LAB-20-wave20-ast,luminet-baseline-d73453f,daemon-labs,ast lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/ast.go,6ac2d94ab5f7927d3ea474ec598ecb1f10875105150a486a22d63fb5dd3a49e7,Action;Action.String;ActionBlock;ActionDirect;ActionProxy;CIDRMatcher;CIDRMatcher.Match;CIDRMatcher.String;DomainGlobMatcher;DomainGlobMatcher.Match;DomainGlobMatcher.String;Endpoint;Matcher;ParseRuleSet;PortRangeMatcher;PortRangeMatcher.Match;PortRangeMatcher.String;Rule;Rule.Evaluate;RuleSet;RuleSet.Decide;TagMatcher;TagMatcher.Match;TagMatcher.String,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/ast.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-AUTOWORKER-60A2372B,n/a,HVC-LAB-20-wave20-autoworker,luminet-baseline-d73453f,daemon-labs,autoworker lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/autoworker.go,60a2372bcfaf32103300b4a377d94933899ee6168c6ab1fc585bcc1285cb2907,AutoWorker;AutoWorker.AddBinding;AutoWorker.AddKVNamespace;AutoWorker.AddRoute;AutoWorker.ClearBindings;AutoWorker.ClearKVNamespaces;AutoWorker.ClearRoutes;AutoWorker.DeployRelease;AutoWorker.GetAccountID;AutoWorker.GetAnalyticsEngineBindings;AutoWorker.GetBinding;AutoWorker.GetBindings;AutoWorker.GetBindingsCount;AutoWorker.GetCompatibilityDate;AutoWorker.GetCompatibilityFlags;AutoWorker.GetD1Bindings;AutoWorker.GetDispatchNamespace;AutoWorker.GetDryRun;AutoWorker.GetEnvironment;AutoWorker.GetKVNamespaces;AutoWorker.GetKVNamespacesCount;AutoWorker.GetLogLevel;AutoWorker.GetMaxRetries;AutoWorker.GetOAuthToken;AutoWorker.GetPlacementMode;AutoWorker.GetR2Bindings;AutoWorker.GetRoutes;AutoWorker.GetRoutesCount;AutoWorker.GetScriptPath;AutoWorker.GetSendLogs;AutoWorker.GetServiceBindings;AutoWorker.GetSubdomain;AutoWorker.GetUsageModel;AutoWorker.GetVersion;AutoWorker.GetWorkerName;AutoWorker.GetZoneID;AutoWorker.RemoveBinding;AutoWorker.RemoveKVNamespace;AutoWorker.RemoveRoute;AutoWorker.SetAccountID;AutoWorker.SetAnalyticsEngineBindings;AutoWorker.SetBindings;AutoWorker.SetCompatibilityDate;AutoWorker.SetCompatibilityFlags;AutoWorker.SetD1Bindings;AutoWorker.SetDispatchNamespace;AutoWorker.SetDryRun;AutoWorker.SetEnvironment;AutoWorker.SetKVNamespaces;AutoWorker.SetLogLevel;AutoWorker.SetMaxRetries;AutoWorker.SetOAuthToken;AutoWorker.SetPlacementMode;AutoWorker.SetR2Bindings;AutoWorker.SetRoutes;AutoWorker.SetScriptPath;AutoWorker.SetSendLogs;AutoWorker.SetServiceBindings;AutoWorker.SetSubdomain;AutoWorker.SetUsageModel;AutoWorker.SetVersion;AutoWorker.SetWorkerName;AutoWorker.SetZoneID;NewAutoWorker,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/autoworker.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-AWESOME-FALLBACK-75702ACB,n/a,HVC-LAB-20-wave20-awesome-fallback,luminet-baseline-d73453f,daemon-labs,awesome fallback lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/awesome_fallback.go,75702acb006febc6a5ab48915ef768e95903ceb35670a432c29e144bf6957eb0,AwesomeFallbackConfig;AwesomeFallbackConfig.GetFallback;DefaultAwesomeFallback,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/awesome_fallback.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-BILLING-MONITOR-EB58240F,n/a,HVC-LAB-20-wave20-billing-monitor,luminet-baseline-d73453f,daemon-labs,billing monitor lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/billing_monitor.go,eb58240fd1a2e6005b74e6db20ddf9e29b1c408b6200dc97a77f4b8a8ea3b048,BillingMonitor;BillingMonitor.AddDownstream;BillingMonitor.AddUpstream;BillingMonitor.Alert;BillingMonitor.Check;BillingMonitor.Reset;BillingMonitor.Snapshot;NewBillingMonitor,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/billing_monitor.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-BILLING-PANEL-ADAPTER-BC13E131,n/a,HVC-LAB-20-wave20-billing-panel-adapter,luminet-baseline-d73453f,daemon-labs,billing panel adapter lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/billing_panel_adapter.go,bc13e131e4f34b06930e2e7076f1afc36c568b76bf2c61b2645975347ac2fa48,NewV2Board;V2Board;V2Board.ManageSubscriptions,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/billing_panel_adapter.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-BPB-PANEL-674A22B9,n/a,HVC-LAB-20-wave20-bpb-panel,luminet-baseline-d73453f,daemon-labs,bpb panel lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/bpb_panel.go,674a22b944b276d48dd170241a15e60b8596dddaebcfeed7def3e433c7772688,BPBPanel;BPBPanel.AddDNSServer;BPBPanel.AddIPAddress;BPBPanel.AddProxyConfig;BPBPanel.AuthenticateJWT;BPBPanel.BuildSubscriptionProfile;BPBPanel.CheckTrafficUsage;BPBPanel.ClearDNSServers;BPBPanel.ClearIPAddresses;BPBPanel.ClearProxyConfigs;BPBPanel.ExportConfigJSON;BPBPanel.GenerateHttpLink;BPBPanel.GenerateHysteriaLink;BPBPanel.GenerateJWTToken;BPBPanel.GenerateSSLink;BPBPanel.GenerateSocksLink;BPBPanel.GenerateSubscriptionHeaders;BPBPanel.GenerateTrojanLink;BPBPanel.GenerateTuicLink;BPBPanel.GenerateVLESSLink;BPBPanel.GenerateWarpLink;BPBPanel.GenerateWireguardLink;BPBPanel.GetActiveIPsCount;BPBPanel.GetAllowLANConnection;BPBPanel.GetAntiSanctionDNS;BPBPanel.GetBestVLTRInterval;BPBPanel.GetBypassChina;BPBPanel.GetBypassIran;BPBPanel.GetBypassRussia;BPBPanel.GetCleanIPs;BPBPanel.GetCustomCdnAddrs;BPBPanel.GetCustomCdnHost;BPBPanel.GetCustomCdnSni;BPBPanel.GetDNSServers;BPBPanel.GetDomain;BPBPanel.GetEchServerName;BPBPanel.GetEnableECH;BPBPanel.GetEnableIPv6;BPBPanel.GetEnableTFO;BPBPanel.GetFakeDNS;BPBPanel.GetFingerprint;BPBPanel.GetFragmentIntervalMax;BPBPanel.GetFragmentIntervalMin;BPBPanel.GetFragmentLengthMax;BPBPanel.GetFragmentLengthMin;BPBPanel.GetFragmentMaxSplitMax;BPBPanel.GetFragmentMaxSplitMin;BPBPanel.GetFragmentMode;BPBPanel.GetFragmentPackets;BPBPanel.GetIPAddresses;BPBPanel.GetLocalDNS;BPBPanel.GetLogLevel;BPBPanel.GetOutProxy;BPBPanel.GetPorts;BPBPanel.GetPrefixes;BPBPanel.GetProxyConfig;BPBPanel.GetProxyConfigKeys;BPBPanel.GetProxyConfigsCount;BPBPanel.GetProxyIPMode;BPBPanel.GetProxyIPs;BPBPanel.GetProxySettings;BPBPanel.GetRemoteDNS;BPBPanel.GetRemoteDnsHost;BPBPanel.GetSubscribersCount;BPBPanel.GetTRConfigs;BPBPanel.GetTrafficLimit;BPBPanel.GetTrojanConfigTemplate;BPBPanel.GetUUID;BPBPanel.GetUpstreamProxy;BPBPanel.GetVLConfigs;BPBPanel.GetVLESSConfigTemplate;BPBPanel.GetVersion;BPBPanel.GetWarpConfigTemplate;BPBPanel.HasProxyConfigKey;BPBPanel.ImportConfigJSON;BPBPanel.IncrementSubscribers;BPBPanel.IsDNSServerRegistered;BPBPanel.IsIPRegistered;BPBPanel.RemoveDNSServer;BPBPanel.RemoveIPAddress;BPBPanel.RemoveProxyConfig;BPBPanel.ResetBPBPanelPreset;BPBPanel.ResetPassword;BPBPanel.ResetSubscribers;BPBPanel.SetAllowLANConnection;BPBPanel.SetAntiSanctionDNS;BPBPanel.SetBestVLTRInterval;BPBPanel.SetBypassChina;BPBPanel.SetBypassIran;BPBPanel.SetBypassRussia;BPBPanel.SetCleanIPs;BPBPanel.SetCustomCdnAddrs;BPBPanel.SetCustomCdnHost;BPBPanel.SetCustomCdnSni;BPBPanel.SetDefaultDNSServers;BPBPanel.SetDomain;BPBPanel.SetEchServerName;BPBPanel.SetEnableECH;BPBPanel.SetEnableIPv6;BPBPanel.SetEnableTFO;BPBPanel.SetFakeDNS;BPBPanel.SetFingerprint;BPBPanel.SetFragmentIntervalMax;BPBPanel.SetFragmentIntervalMin;BPBPanel.SetFragmentLengthMax;BPBPanel.SetFragmentLengthMin;BPBPanel.SetFragmentMaxSplitMax;BPBPanel.SetFragmentMaxSplitMin;BPBPanel.SetFragmentMode;BPBPanel.SetFragmentPackets;BPBPanel.SetLocalDNS;BPBPanel.SetLogLevel;BPBPanel.SetOutProxy;BPBPanel.SetPorts;BPBPanel.SetPrefixes;BPBPanel.SetProxyIPMode;BPBPanel.SetProxyIPs;BPBPanel.SetRemoteDNS;BPBPanel.SetRemoteDnsHost;BPBPanel.SetTRConfigs;BPBPanel.SetTrafficLimit;BPBPanel.SetTrojanConfigTemplate;BPBPanel.SetUUID;BPBPanel.SetUpstreamProxy;BPBPanel.SetVLConfigs;BPBPanel.SetVLESSConfigTemplate;BPBPanel.SetVersion;BPBPanel.SetWarpConfigTemplate;BPBPanel.UpdateProxySettings;BPBPanel.ValidateDomain;BPBPanel.ValidateUUID;BPBPanel.VerifyBPBPanelPreset;BPBProxySettings;NewBPBPanel,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/bpb_panel.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-BRUTAL-CC-D1BE7406,n/a,HVC-LAB-20-wave20-brutal-cc,luminet-baseline-d73453f,daemon-labs,brutal cc lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/brutal_cc.go,d1be7406b3ae5fc0f24238adb52dbd45eac90fa11ab04da68166059a3ebd5b97,BrutalCC;BrutalCC.CongestionWindow;BrutalCC.EffectiveSendRate;BrutalCC.OnAck;BrutalCC.OnAckLoss;BrutalCC.OnLoss;BrutalCC.SetRTT;BrutalPacer;BrutalPacer.OnPacketSent;BrutalPacer.TimeUntilSend;NewBrutalCC;NewBrutalPacer,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/brutal_cc.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-CANDY-CONNECT-71150A94,n/a,HVC-LAB-20-wave20-candy-connect,luminet-baseline-d73453f,daemon-labs,candy connect lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/candy_connect.go,71150a9406c11168657427fa09eb1b537e1cdb18d071711abf67ea5e477c8198,CandyConfigBuilder;CandyConfigBuilder.BuildModeTunSocks;CandyConfigBuilder.BuildModeWireguardProxy;CandyConfigBuilder.BuildModeWireguardTunFull;NewCandyConfigBuilder,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/candy_connect.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-CANDY-SERVER-9FF892FC,n/a,HVC-LAB-20-wave20-candy-server,luminet-baseline-d73453f,daemon-labs,candy server lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/candy_server.go,9ff892fcc7d12cb7cffb33924f24841fd1a2a4932a9d35d6466047631080bc60,CandyServer;CandyServer.Connect;CandyServer.GenerateDNSTTKeys;CandyServer.StartDNSTT;CandyServer.StopDNSTT;NewCandyServer,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/candy_server.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-CENSORSHIP-API-A251D817,n/a,HVC-LAB-20-wave20-censorship-api,luminet-baseline-d73453f,daemon-labs,censorship api lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/censorship_api.go,a251d8178a51ada0367839348ad66bdbff395ffbefafd82bf0f7e7f3312111ee,CensorshipAPI;CensorshipAPI.GetCensoredDomainsHandler;CensorshipAPI.GetPacFileHandler;CensorshipAPI.ReportBlockHandler;NewCensorshipAPI,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/censorship_api.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,labs/daemon/proxy/censorship_api_test.go,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
